Title,Mission,Mission,Program Description,Type of service,Other type of service,"Headquarter Location (City, State)",States of Operation,Website Address,Organization Type,Year Started,Subject Offered,Other subjects,Grade Levels,Languages Offered,Other languages,Type of Tutor,Other tutor type,Delivery Mode,Percentage of tutors who can speak a language other than English,Race/Ethnicity breakdown of tutors,Most recent number of students served,Number of Minutes Per Session,Number of Sessions Per Week,Number of Weeks Per Program,Student-Tutor Ratio,Student/Tutor Ratio Per Program,Setting,Family Engagement,Family Engagement Description,Randomized controlled trial (RCT) study conducted?,RCT Citation,RCT effect size,Quasi-experimental (QED) study conducted?,QED citation,QED effect size,Customer Type,Cost to District/ School/ Non-Profit ,Cost to Student ,Contact
Club Z In Home Tutoring Services,,We help students with school work and homework assignments. Our tutors go to students home and assist them.,We provide tutoring services for In home and Online tutoring services.,"Tutoring Program, Technology Platform, Academic Intervention",,"Buffalo Grove, Illinois",Illinois,https://clubztutoring.com/buffalo-grove/,For Profit,2019,"English Language Arts (ELA), Early Literacy, Math, Reading, Science, Social Studies, Other",,"Pre-Kindergarten, Kindergarten, 1st Grade, 2nd Grade, 3rd Grade, 4th Grade, 5th Grade, 6th Grade, 7th Grade, 8th Grade, 9th Grade, 10th Grade, 11th Grade, 12th Grade, Post secondary","English, Spanish",,"Parent, Peer, Teacher, Tutoring Staff",,Blended,10%,"20% Asian, 80% White",50,No limit,No limit,No limit,1:01,,Out of School,,Conversation with families.,No,,,No,,,"School, Student",,$45-50 per hour,
Connect Me,,Connect Me's mission is to give back and support our community as high school students with a passion for tutoring and mentoring!,"Connect Me provides free online tutoring and mentoring services to students who fit at least one of these criteria:
1) They are in a low income family (less than $60,000 yearly household income)
2) At least one parent/guardian of the student is an essential worker (as defined by the NCSL)
3) The student is in virtual/hybrid school due to the COVID-19 pandemic.
Students meet with their tutor at least once per week on a secured and monitored Zoom link, and have access to additional resources such as office hours.","Tutoring Program, Technology Platform",,"Novi, Michigan",Virtual,https://connectmego.org/,Nonprofit,2020,"English Language Arts (ELA), Early Literacy, Math, Reading, Science, Social Studies, Other","Time Management, Navigating Online Learning Platforms (e.g. Schoology)","Pre-Kindergarten, Kindergarten, 1st Grade, 2nd Grade, 3rd Grade, 4th Grade, 5th Grade, 6th Grade, 7th Grade, 8th Grade",English,,"Peer, Volunteer, Other",Retired teachers also comprise part of our tutors,Virtual,"30% are at least partially proficient in Spanish, 20% speak Hindi, 15% speak Turkish, 10% speak Arabic","1.4% Hispanic or Latino, 54.4% Asian, 10.3% Black or African American, 33.9% White",476,60,1,As many as student's family desires,1:01,,"During School, Out of School",,"We communicate with the student's family through email and phone to relay information about tutoring classes, such as the day/time and the Zoom link. Additionally, we also provide emails on organization updates and additional resources for students.",No,,,No,,,"Parent, Student",0,0,
Connect Tutors,,Connect Tutors supports equitable access to college through free and remote application essay tutoring.,"Connect Tutors is a remote tutoring program providing high school students with free and high-quality college application essay support. We pair predominantly low-income students with our team of tutors, and equip them to build meaningful mentorship relationships that develop the writing skills and confidence of high school students. We believe a student's financial circumstances should play no role in their ability to access college writing support and tell their stories effectively.",Tutoring Program,,"Boston, MA","Massachusetts, Rhode Island, Virtual",https://www.connecttutors.org/,Nonprofit,2020,Other,College essay,"11th Grade, 12th Grade","English, French, Spanish, Other",,"Tutoring Staff, Volunteer",,Virtual,25% speak Spanish,,,90,1,8,,,"During School, Out of School",,,No,,,No,,,District,,,
CovEducation,,"With an expanding community of 5,000+ undergraduates, postgraduates and educators from 448 higher education institutions and 4,000+ mentees across 50 states, CovEd believes in the democratization of academic resources and support so that every student has a chance to reach their fullest potential. This program is available to all K-12 students in the U.S., focusing on those with limited access to resources for continued learning especially during the COVID-19 pandemic.","CovEducation is a 501(c)(3) non-profit that works to connect mentors from higher education institutions with K-12 students affected by school closures. Our mentors not only serve as academic tutors but also as role models who foster non-academic interests and career exploration. We also compile free, web-based educational resources for students, families, and educators, as well as partner with schools and other non-profits to improve the learning experience of K-12 students.","Tutoring Program, Academic Intervention",,,Virtual,https://www.coved.org/,Nonprofit,2020,"English Language Arts (ELA), Early Literacy, Math, Reading, Science, Social Studies, Other","Writing, History, Computer Science, Economics, Music, Art, Language, K-12 Test Prep","Kindergarten, 1st Grade, 2nd Grade, 3rd Grade, 4th Grade, 5th Grade, 6th Grade, 7th Grade, 8th Grade, 9th Grade, 10th Grade, 11th Grade, 12th Grade","Chinese, English, French, Spanish, Vietnamese, Other",Depends on mentor availability,Volunteer,,Virtual,,,5000,60 or more,1 or more,Depends on mentorship pairs,1:01,,"During School, Out of School",,"If under 18 years old, we require that a parent or guardian be present during all mentoring sessions.",No,,,No,,,"Parent, School, Student",Free,Free,
EdLight,,EdLight helps align tutoring with the school curriculum and allows teachers to oversee the quality of tutoring.,"EdLight is a platform to organize student work. Using EdLight's tutoring features, teachers can assign students to tutoring, specifying the standards / content for tutoring, and sharing any classwork / data that will allow the tutor to target their support. Tutors then share student work from each session back with teachers, allowing teachers to ensure that the tutoring is aligned to classwork and high quality. This intimate communication between teachers and tutors builds trust and allows teachers to confidently focus on grade level work during core instruction time.","Tutoring Program, Technology Platform",,"Boston, MA",Virtual,https://www.edlight.com/,For Profit,2021,"English Language Arts (ELA), Early Literacy, Math, Reading",,"Kindergarten, 1st Grade, 2nd Grade, 3rd Grade, 4th Grade, 5th Grade, 6th Grade, 7th Grade, 8th Grade",English,,"Teacher, Tutoring Staff",,Virtual,,"50% Black or African American, 50% White",,30,4,6,1:1 - 6:1,,"During School, Out of School",,,No,,,No,,,"District, School","Tutoring platform --> $5 / student, Tutoring services --> $960 per group of up to 6 students ($160 - $960 per student)",$0 ,
Empower CNY,,"Empower CNY began as a way to improve educational equity in Central New York. Many young students have fallen behind due to disproportionate resource allocation within our education system. To help students combat this issue, Empower CNY links high school volunteers with them locally. Tutors not only enjoy developing the community but also have the opportunity to build interpersonal and leadership qualities. Through diverse student leadership, Empower CNY is able to develop activities and programs that meet the needs of all ambitious students. At Empower CNY, we strive to provide the resources for all students to reach their maximum academic potential.",High school tutors from across the Central New York area register through our website and are firstly interviewed. They are then paired with a student who is in need of tutoring. We hold tutoring sessions weekly on Saturday and Sunday at morning and evening times. Parents and tutors provide feedback through our optional session review forms.,"Tutoring Program, Technology Platform, Academic Intervention, Other",Workshops,"Syracuse, New York","New York, Virtual",http://empowercny.org,Nonprofit,2020,"English Language Arts (ELA), Early Literacy, Math, Reading, Science, Social Studies, Other",Foreign Languages,"Kindergarten, 1st Grade, 2nd Grade, 3rd Grade, 4th Grade, 5th Grade, 6th Grade, 7th Grade, 8th Grade",English,,"Volunteer, Other",High School Students,Virtual,,"1% Hispanic or Latino,",20,60,3,Infinite,1:01,,Out of School,,"Discussions with parents over email regarding student preparation, session review forms to gauge satisfaction.",No,,,No,,,"Parent, School, Student",$0 ,$0 ,
eTutorWorld Corporation,,"Founded in 2008, we realized tutoring could be made more affordable and convenient, without compromising on the quality of education provided to students. Our goal is to support parents and offer what each child needs to be successful as an individual, in a welcoming and supportive community.","eTutorWorld offers one-to-one, and small group, online tutoring in math, science, English, and test prep for students in grades K-12. Tutors are carefully selected subject matter experts with college degree, often Masters, teaching experience, and go through extensive tutor training with ongoing coaching. Students are thoughtfully matched with a dedicated tutor for optimal personalized learning experience and mentoring relationship. Customized curriculum based on school and state standards, regular diagnostic assessments and Learn by Design teaching methodology to track progress. All sessions recorded and available for review. Sophisticated technology platform to manage large scale tutoring programs, currently delivering 2000 lessons per month. Flexible packages based on student needs. Now partnering with schools and districts to support high-impact tutoring initiatives.","Tutoring Program, Technology Platform",,"East Lansing, Michigan","Alabama, Alaska, Arizona, Arkansas, California, Colorado, Connecticut, Delaware, Florida, Georgia, Hawaii, Idaho, Illinois, Indiana, Iowa, Kansas, Kentucky, Louisiana, Maine, Maryland, Massachusetts, Michigan, Minnesota, Mississippi, Missouri, Montana, Nebraska, Nevada, New Hampshire, New Jersey, New Mexico, New York, North Carolina, North Dakota, Ohio, Oklahoma, Oregon, Pennsylvania, Rhode Island, South Carolina, South Dakota, Tennessee, Texas, Utah, Vermont, Virginia, Washington, Washington DC, West Virginia, Wisconsin, Wyoming, Virtual",https://www.etutorworld.com,For Profit,2008,"English Language Arts (ELA), Early Literacy, Math, Reading, Science, Social Studies, Other","Test prep: AP, ACT, SAT, PSAT, SCAT, SSAT, ISEE, CogAT","Kindergarten, 1st Grade, 2nd Grade, 3rd Grade, 4th Grade, 5th Grade, 6th Grade, 7th Grade, 8th Grade, 9th Grade, 10th Grade, 11th Grade, 12th Grade",English,,"Teacher, Tutoring Staff",,Virtual,,"95% Asian, 5% Black or African American",2000,60,"1-5, Customizable",Customizable,1:1 - 4:1,,"During School, Out of School",,"Virtual meeting with parent to discuss goals and develop learning plan, copied on all emails for scheduled sessions, access to student portal to track learning progress and attendance, schedule sessions, view recorded lessons and assigned worksheets to do between lessons, regular check-ins with parents available, 24x7 customer support, dedicated tutors become mentors and work with parents to optimize student learning.",No,,,No,,,"District, Nonprofit, Parent, School, Student",Varies,$19-$26 per 1:1 session (one hour),
General Tutoring,,General Tutoring aims to alleviate educational inequalities through free supplemental tutoring for students in the greater Waltham area.,GT matches Brandeis students with Waltham public school students (K-12) for free 1 on 1 tutoring in any academic subject on campus,Tutoring Program,,"Waltham, MA",Massachusetts,https://www.brandeis.edu/community-service/waltham-group/programs/general-tutor…,Nonprofit,,"English Language Arts (ELA), Early Literacy, Math, Reading, Science, Other",All,"Kindergarten, 1st Grade, 2nd Grade, 3rd Grade, 4th Grade, 5th Grade, 6th Grade, 7th Grade, 8th Grade, 9th Grade, 10th Grade, 11th Grade, 12th Grade","English, Spanish",,"Volunteer, College Students",,"Blended, In-Person, Virtual","32% - None, 10% - Spanish, 7% - Mandarin Chinese, 8% - Hebrew, 6%- French,",,141,60,1,30,1:01,,Out of School,,Communicates over phone or email with parents.,No,,,No,,,School,$50 per tutor,Free,
Girls Who Math,,"We strive to make STEM fun, approachable, and accessible to young women from all walks of life. We provide free individual tutoring and small group classes while also working to remove the stigma surrounding girls with an interest in STEM.",One-on-one tutoring for students who need help with school math or school-level computer science.,Tutoring Program,,"Falls Church, Virginia","Alabama, Alaska, Arizona, Arkansas, California, Colorado, Connecticut, Delaware, Florida, Georgia, Hawaii, Idaho, Illinois, Indiana, Iowa, Kansas, Kentucky, Louisiana, Maine, Maryland, Massachusetts, Michigan, Minnesota, Mississippi, Missouri, Montana, Nebraska, Nevada, New Hampshire, New Jersey, New Mexico, New York, North Carolina, North Dakota, Ohio, Oklahoma, Oregon, Pennsylvania, Rhode Island, South Carolina, South Dakota, Tennessee, Texas, Utah, Vermont, Virginia, Washington, Washington DC, West Virginia, Wisconsin, Wyoming, Virtual",http://girlswhomath.net/,For Profit,2019,"Math, Science, Other",Computer Science,"Pre-Kindergarten, Kindergarten, 1st Grade, 2nd Grade, 3rd Grade, 4th Grade, 5th Grade, 6th Grade, 7th Grade, 8th Grade, 9th Grade, 10th Grade, 11th Grade, 12th Grade, Post secondary",English,,Volunteer,,Virtual,,,300+,60,1,However long the students need,1:01,,Out of School,,,No,,,No,,,"Parent, Student",$0 ,$0 ,
GoPeer,GoPeer's mission is to improve the quality and lower the cost of education. This is why GoPeer offers high-quality 1-to-1 tutoring at 1/3 the national average cost of professional tutoring.,GoPeer's mission is to improve the quality and lower the cost of education. This is why GoPeer offers high-quality 1-to-1 tutoring at 1/3 the national average cost of professional tutoring.,"10,000 college students are available to tutor K-12 students in over 153 subjects.",Tutoring Program,,"Providence, Rhode Island",Rhode Island,https://gopeer.org,For Profit,2017,"English Language Arts (ELA), Early Literacy, Math, Reading, Science, Social Studies, Other",All,"Pre-Kindergarten, Kindergarten, 1st Grade, 3rd Grade, 4th Grade, 5th Grade, 6th Grade, 7th Grade, 8th Grade, 9th Grade, 10th Grade, 11th Grade, 12th Grade, Post secondary","Chinese, English, French, Spanish, Other",Vietnamese,"Tutoring staff, Other","10,000 paid college undergraduate students.",Virtual,"70% English,  20% Spanish,  5% Mandarin Chinese,  5% French","Hispanic or Latino- 18%, American Indian or Alaska Native 2%, Asian 9.5%, Black or African American 33%, Native Hawaiian or Other Pacific Islander 2.5%, White 35%",40000,,Varies based on student request,,1:01,,"During School, Out of School",,"Families have access to GoPeer's Family Portal where they can access real-time progress reports, tracking, tutor communication, and complementary curriculum.",No,,,No,,,"Parent, Student",GoPeer does not partner with educational institutions or nonprofits at this time.,$20/hour or Free,
Heart Math Tutoring,,"The mission is to ensure all elementary students develop the strong foundation in math and enthusiasm for academics needed for long-term success, by helping schools use volunteers as tutors. The program serves as a Tier II Intervention for elementary students who are below grade level in math.",Tutors work with elementary schools in Charlotte-Mecklenburg and provide 30 minute 1:1 tutoring sessions twice per week during the school day. The program serves 50 students in grades 1-5 per school who are nominated by school staff based on their need for math support.,Tutoring Program,,"Charlotte, North Carolina",North Carolina,http://www.hearttutoring.org,Nonprofit,2013,Math,,"1st Grade, 2nd Grade, 3rd Grade, 4th Grade, 5th Grade",English,,"Tutoring Staff, Volunteer",,"In-Person, Virtual",,"4% Hispanic/Latino, 10% Asian, 11% Black or African American, 71% White",1193,30,2,26,1:01,,During School,,"We seek family permission for students to enroll after students are nominated by school staff. From there, we send quarterly progress reports and at-home math resources to families. In a typical school year, we host two family engagement events to celebrate student progress and practice math games with families.",No,,,Yes, https://hearttutoring.org/wp-content/uploads/2017/06/Heart_FinalReport_… ,,"District, School","Each school pays $10,000 per year. We raise $50,000 per school from community philanthropy per year.",,
HeyTutor,,"Access to the best tutors, nationwide, for collegiate and post graduate level coursework. We primarily focus on 1-1, individualized tutoring services.","Private, 1-1 tutoring services offering virtually with some in person availability.","Tutoring Program, Technology Platform",,"New York, NY","Alabama, Alaska, Arizona, Arkansas, California, Colorado, Connecticut, Delaware, Florida, Georgia, Hawaii, Idaho, Illinois, Indiana, Iowa, Kansas, Kentucky, Louisiana, Maine, Maryland, Massachusetts, Michigan, Minnesota, Mississippi, Missouri, Montana, Nebraska, Nevada, New Hampshire, New Jersey, New Mexico, New York, North Carolina, North Dakota, Ohio, Oklahoma, Oregon, Pennsylvania, Rhode Island, South Carolina, South Dakota, Tennessee, Texas, Utah, Vermont, Virginia, Washington, Washington DC, West Virginia, Wisconsin, Wyoming, Virtual",http://www.heytutor.com,For Profit,2014,"English Language Arts (ELA), Early Literacy, Math, Reading, Science, Social Studies, Other","ALL- K-12, College, Post Graduate, All Standardized Exams (LSAT,MCAT,GMAT etc.) , PHD, Professional Level (Bar, Series, Foreign Language, Computer Programming etc.)","Pre-Kindergarten, Kindergarten, 1st Grade, 2nd Grade, 3rd Grade, 4th Grade, 5th Grade, 6th Grade, 7th Grade, 8th Grade, 9th Grade, 10th Grade, 11th Grade, 12th Grade, Post secondary","Chinese, English, French, panish, Vietnamese, Other",Any,"Paraprofessional, Teacher",,"Blended, In-Person, Virtual",45% are bilingual. More importantly is working with a tutor specializing in tutoring a specific foreign language.,,2000,1 hr minimum. 1-2 hours is average.,Flexible. 2-3 is average.,Flexible. 6-20 average.,1:01,,Out of School,,Up to the discretion of whomever signs up. We are happy to notate the contact details of parents if necessary for tutor to be in communication with anyone other than the student.,No,,,No,,,"District, Nonprofit, Parent, School, Student",Varies,Varies. $45+/hr,
Hill Learning Center Reading Achievement Program,,"We transform students with learning differences into confident, independent learners.","Hill Learning Center provides students and educators with the instruction, tools, and support they need to succeed in school, and in life. We serve students directly, and share the evidence based practices implemented in our school with educators everywhere via the Hill Learning System and educator professional development. Our signature program is HillRAP (Reading Achievement Program.) Hill Tutoring serves families with both individual tutoring and small-group classes that are built upon research, individualized instruction, and successful teaching techniques.",Tutoring Program,,"Durham, NC",North Carolina,https://www.hillcenter.org/professional-development/hill-methodology/hillrap-re…,Nonprofit,1977,"English Language Arts (ELA), Math, Reading, Other",Executive Function,"Kindergarten, 1st Grade, 2nd Grade, 3rd Grade, 4th Grade, 5th Grade, 6th Grade, 7th Grade, 8th Grade, 9th Grade, 10th Grade, 11th Grade, 12th Grade",,,Teacher,,"Blended, In-Person, Virtual",,,2503,30-45,,Based on client need.,1:1 or small group of no more than 4 students.,,Out of School,,Regular reports and updates of progress and monthly free community education events.,No,,,Yes,https://www.tandfonline.com/doi/abs/10.1080/15377900802487201?journalCo…,"0.55-0.78, each component of the lesson was measured independently","Parent, School, Student",Varies depending on size of the project and philanthropic dollars,$50-$75 per hour,"Beth Anderson, Executive Director"
Hoot Reading,"Hoot Reading's mission is to to close the 4th grade reading gap and build independent, confident, lifelong learners.","Hoot Reading's mission is to to close the 4th grade reading gap and build independent, confident, lifelong learners.","Hoot Reading is an online tutoring service that is focused on literacy. We connect kids with experienced, hand selected teachers, to practice reading over video chat.","Tutoring Program, Technology Platform",,Virtual,,https://www.hootreading.com/tutor/,For Profit,2018,Reading,,"Pre-Kindergarten, Kindergarten, 1st Grade, 2nd Grade, 3rd Grade, 4th Grade, 5th Grade, 6th Grade","English, French, Other",Spanish under development.,Teacher,,,,,,20,3-Feb,,1:01,,Out of School,,Parents receive periodic reports.,No,,,Yes,https://xpmrqmi8i9nphz8lw6la02-wpengine.netdna-ssl.com/wp-content/uploa…,,Parent,,An average of $22 per lesson.,
